date,total_entries,total_records,percentage,avg_time_difference,max_time_difference
2025-05-01,4383,4383,100.0,19.97,127.91
2025-05-02,4395,4395,100.0,19.96,128.15
2025-05-03,3693,3693,100.0,20.33,127.85
2025-05-05,4285,4285,100.0,20.22,128.76
2025-05-06,4479,4479,100.0,19.92,126.13
2025-05-07,4171,4171,100.0,19.98,24.81
2025-05-08,4285,4285,100.0,20.08,121.86
2025-05-09,4698,4698,100.0,20.36,120.54
2025-05-10,3691,3691,100.0,20.38,130.88
2025-05-12,4161,4161,100.0,18.63,23.86
2025-05-13,2514,4383,57.36,20.28,114.0
2025-05-14,2,4301,0.05,10.86,11.43
2025-05-15,6,4192,0.14,10.84,12.02
2025-05-16,7,4179,0.17,23.49,103.35
2025-05-17,3,3607,0.08,10.55,11.26
2025-05-19,41,4324,0.95,10.93,14.13
2025-05-20,46,4318,1.07,10.95,14.03
2025-05-21,2,649,0.31,10.07,10.13
2025-05-22,146,4217,3.46,24.41,84.64
2025-05-23,89,4021,2.21,10.86,17.19
2025-05-24,17,3850,0.44,10.54,11.65
2025-05-26,69,4100,1.68,31.51,74.02
2025-05-27,33,4111,0.8,10.96,13.37
2025-05-28,731,3814,19.17,4972.5,10547.29
2025-05-29,9,3746,0.24,10.93,11.7
2025-05-30,7,3677,0.19,10.93,11.97
2025-05-31,3,3173,0.09,11.04,12.24
2025-06-02,12,3509,0.34,12.08,18.84
2025-06-03,40,3404,1.18,111.87,296.89
2025-06-04,1811,3685,49.15,10734.51,21950.99
2025-06-05,2153,3574,60.24,2343.87,4886.98
2025-06-06,24,3647,0.66,11.1,13.04
2025-06-07,10,3062,0.33,10.41,11.58
2025-06-09,21,3714,0.57,10.67,14.27
2025-06-10,503,1645,30.58,42344.57,45535.83
2025-06-11,2586,5587,46.29,17660.42,36802.0
2025-06-12,3,4307,0.07,47.88,120.11
2025-06-13,4,4326,0.09,10.94,11.42
2025-06-14,5,3835,0.13,11.08,12.52
2025-06-16,14,4332,0.32,11.77,13.85
2025-06-17,10,4325,0.23,10.7,12.12
2025-06-18,10,4337,0.23,10.45,11.22
2025-06-19,12,4043,0.3,10.41,11.58
2025-06-23,16,4349,0.37,15.11,26.53
2025-06-24,18,4338,0.41,10.64,12.7
2025-06-25,13,4323,0.3,11.39,14.15
2025-06-26,20,4361,0.46,11.3,13.69
2025-06-27,5,4346,0.12,10.31,10.81
2025-06-28,9,3680,0.24,10.49,11.44
2025-06-30,10,4363,0.23,11.13,13.3
2025-07-01,5,2397,0.21,10.63,10.86
2025-07-02,110,3954,2.78,47.21,113.03
2025-07-03,170,4285,3.97,60.82,132.84
2025-07-04,300,2186,13.72,545.4,1106.59
